text,label,exp_split
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,1,train
an uncluttered resonant gem that relays its universal points without lectures or confrontations,1,train
the cockettes provides a window into a subculture hell bent on expressing itself in every way imaginable,1,train
a smart steamy mix of road movie coming of age story and political satire,1,train
the modern day royals have nothing on these guys when it comes to scandals,0,train
it s only in fairy tales that princesses that are married for political reason live happily ever after,0,train
a terrific b movie in fact the best in recent memory,1,train
birthday girl is an actor s movie first and foremost,1,train
i walked away from this new version of e t just as i hoped i would with moist eyes,1,train
for devotees of french cinema safe conduct is so rich with period minutiae it s like dying and going to celluloid heaven,1,train
what s really so appealing about the characters is their resemblance to everyday children,1,train
an absurdist spider web,0,train
if you re as happy listening to movies as you are watching them and the slow parade of human frailty fascinates you then you re at the right film,1,train
mention solaris five years from now and i m sure those who saw it will have an opinion to share,1,train
allen s funniest and most likeable movie in years,1,train
it s a glorious spectacle like those d w griffith made in the early days of silent film,1,train
this comic gem is as delightful as it is derivative,1,train
more timely than its director could ever have dreamed this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders desperate for work and food,1,train
the leaping story line shaped by director peter kosminsky into sharp slivers and cutting impressions shows all the signs of rich detail condensed into a few evocative images and striking character traits,1,train
the production has been made with an enormous amount of affection so we believe these characters love each other,1,train
certainly the performances are worthwhile,1,train
winds up being both revelatory and narcissistic achieving some honest insight into relationships that most high concept films candy coat with pat storylines precious circumstances and beautiful stars,1,train
watching these eccentrics is both inspiring and pure joy,1,train
steven spielberg brings us another masterpiece,1,train
finally the french produced read my lips is a movie that understands characters must come first,1,train
ms seigner and mr serrault bring fresh unforced naturalism to their characters,1,train
allen shows he can outgag any of those young whippersnappers making moving pictures today,1,train
a good film with a solid pedigree both in front of and more specifically behind the camera,1,train
by no means a slam dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act it still comes off as a touching transcendent love story,0,train
i encourage young and old alike to go see this unique and entertaining twist on the classic whale s tale you wo n t be sorry,1,train
a literary detective story is still a detective story and aficionados of the whodunit wo n t be disappointed,1,train
high crimes steals so freely from other movies and combines enough disparate types of films that it ca n t help but engage an audience,1,train
if you re a fan of the series you ll love it and probably want to see it twice,1,train
i will be,1,train
it celebrates the group s playful spark of nonconformity glancing vividly back at what hibiscus grandly called his angels of light,1,train
the story is inspiring ironic and revelatory of just how ridiculous and money oriented the record industry really is,1,train
it is also a testament to the integrity and vision of the band,1,train
laced with liberal doses of dark humor gorgeous exterior photography and a stable full of solid performances no such thing is a fascinating little tale,1,train
huppert s show to steal and she makes a meal of it channeling kathy baker s creepy turn as the repressed mother on boston public just as much as 8 women s augustine,1,train
nair does n t treat the issues lightly,1,train
she allows each character to confront their problems openly and honestly,1,train
one of the best silly horror movies of recent memory with some real shocks in store for unwary viewers,1,train
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them,1,train
strange occurrences build in the mind of the viewer and take on extreme urgency,1,train
has a certain ghoulish fascination and generates a fair amount of b movie excitement,1,train
familiar but utterly delightful,1,train
a fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction,1,train
the film aims to be funny uplifting and moving sometimes all at once,1,train
the extent to which it succeeds is impressive,1,train
the film brilliantly shines on all the characters as the direction is intelligently accomplished,1,train
while not for every taste this often very funny collegiate gross out comedy goes a long way toward restoring the luster of the national lampoon film franchise too long reduced to direct to video irrelevancy,1,train
as broad and cartoonish as the screenplay is there is an accuracy of observation in the work of the director frank novak that keeps the film grounded in an undeniable social realism,1,train
in addition to hoffman s powerful acting clinic this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt or will feel someday,1,train
jeffrey tambor s performance as the intelligent jazz playing exterminator is oscar worthy,1,train
from the opening strains of the average white band s pick up the pieces you can feel the love,1,train
stevens vibrant creative instincts are the difference between this and countless other flicks about guys and dolls,1,train
that it ll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,1,train
meyjes provocative film might be called an example of the haphazardness of evil,1,train
the movie is pretty funny now and then without in any way demeaning its subjects,1,train
imagine a scenario where bergman approaches swedish fatalism using gary larson s far side humor,1,train
too damn weird to pass up and for the blacklight crowd way cheaper and better than pink floyd tickets,1,train
it is most remarkable not because of its epic scope but because of the startling intimacy it achieves despite that breadth,1,train
it s not a great monster movie,0,train
others more attuned to the anarchist maxim that the urge to destroy is also a creative urge or more willing to see with their own eyes will find morrison s iconoclastic uses of technology to be liberating,1,train
miller tells this very compelling tale with little fuss or noise expertly plucking tension from quiet,1,train
time out is existential drama without any of the pretension associated with the term,1,train
it s a sweet laugh a minute crowd pleaser that lifts your spirits as well as the corners of your mouth,1,train
writer director alexander payne election and his co writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing,1,train
it s tough to watch but it s a fantastic movie,1,train
the best animated feature to hit theaters since beauty and the beast 11 years ago,1,train
what saves this deeply affecting film from being merely a collection of wrenching cases is corcuera s attention to detail,1,train
pacino is the best he s been in years and keener is marvelous,1,train
a solid spooky entertainment worthy of the price of a ticket,1,train
by turns fanciful grisly and engagingly quixotic,1,train
very funny very enjoyable,1,train
adaptation is intricately constructed and in a strange way nails all of orlean s themes without being a true adaptation of her book,1,train
so purely enjoyable that you might not even notice it s a fairly straightforward remake of hollywood comedies such as father of the bride,1,train
moonlight mile gives itself the freedom to feel contradictory things,1,train
it is sentimental but feels free to offend is analytical and then surrenders to the illogic of its characters is about grief and yet permits laughter,1,train
the real triumphs in igby come from philippe who makes oliver far more interesting than the character s lines would suggest and sarandon who could n t be better as a cruel but weirdly likable wasp matron,1,train
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side,1,train
if you re willing to have fun with it you wo n t feel cheated by the high infidelity of unfaithful,1,train
australia land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place,1,train
hoffman s performance is authentic to the core of his being,1,train
told just proficiently enough to trounce its overly comfortable trappings,1,train
an enthralling aesthetic experience one that s steeped in mystery and a ravishing baroque beauty,1,train
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths,1,train
a captivating coming of age story that may also be the first narrative film to be truly informed by the wireless age,1,train
what could have been a daytime soap opera is actually a compelling look at a young woman s tragic odyssey,1,train
duvall is strong as always,1,train
a no holds barred cinematic treat,1,train
you d have to be a most hard hearted person not to be moved by this drama,1,train
allen s underestimated charm delivers more goodies than lumps of coal,1,train
measured against practically any like themed film other than its oscar sweeping franchise predecessor the silence of the lambs red dragon rates as an exceptional thriller,1,train
maelstrom is strange and compelling engrossing and different a moral tale with a twisted sense of humor,1,train
it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small budget film,1,train
too often son of the bride becomes an exercise in trying to predict when a preordained big moment will occur and not if,0,train
the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life but also acknowledging the places and the people from whence you came,1,train
a terrific insider look at the star making machinery of tinseltown,1,train
it s a diverting enough hour and a half for the family audience,1,train
a party hearty teen flick that scalds like acid,0,train
as giddy and whimsical and relevant today as it was 270 years ago,1,train
the film offers an intriguing what if premise,1,train
the pianist is the film roman polanski may have been born to make,1,train
this version does justice both to stevenson and to the sci fi genre,1,train
poignant and delicately complex,1,train
enough may pander to our basest desires for payback but unlike many revenge fantasies it ultimately delivers,1,train
cho s latest comic set is n t as sharp or as fresh as i m the one that i want but it s still damn funny stuff,1,train
in the pianist polanski is saying what he has long wanted to say confronting the roots of his own preoccupations and obsessions and he allows nothing to get in the way,1,train
despite the film s shortcomings the stories are quietly moving,1,train
if you come from a family that eats meddles argues laughs kibbitzes and fights together then go see this delightful comedy,1,train
this bracingly truthful antidote to hollywood teenage movies that slather clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty,1,train
it s the filmmakers post camp comprehension of what made old time b movies good bad that makes eight legged freaks a perfectly entertaining summer diversion,1,train
the film s strength is n t in its details but in the larger picture it paints of a culture in conflict with itself with the thin veneer of nationalism that covers our deepest media soaked fears,1,train
it has its faults but it is a kind unapologetic sweetheart of a movie and mandy moore leaves a positive impression,1,train
the saigon of 1952 is an uneasy mix of sensual delights and simmering violence and the quiet american brings us right into the center of that world,1,train
despite its shortcomings girls ca n t swim represents an engaging and intimate first feature by a talented director to watch and it s a worthy entry in the french coming of age genre,1,train
with dirty deeds david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control driven by a natural sense for what works on screen,1,train
the humor and humanity of monsoon wedding are in perfect balance,1,train
lookin for sin american style,0,train
a compelling motion picture that illustrates an american tragedy,1,train
as comedic spotlights go notorious c h o hits all the verbal marks it should,1,train
it s a day at the beach with air conditioning and popcorn,1,train
frida is n t that much different from many a hollywood romance,0,train
what sets it apart is the vision that taymor the avant garde director of broadway s the lion king and the film titus brings,1,train
stevens has a flair for dialogue comedy the film operates nicely off the element of surprise and the large cast is solid,1,train
extremely well acted by the four primary actors this is a seriously intended movie that is not easily forgotten,1,train
the film exudes the urbane sweetness that woody allen seems to have bitterly forsaken,1,train
k 19 the widowmaker is derivative overlong and bombastic yet surprisingly entertaining,1,train
it s good hard edged stuff violent and a bit exploitative but also nicely done morally alert and street smart,1,train
cineasts will revel in those visual in jokes as in the film s verbal pokes at everything from the likes of miramax chief harvey weinstein s bluff personal style to the stylistic rigors of denmark s dogma movement,1,train
it s a rare window on an artistic collaboration,1,train
begins with promise but runs aground after being snared in its own tangled plot,0,train
perhaps the best sports movie i ve ever seen,1,train
cho s timing is priceless,1,train
a sensitive moving brilliantly constructed work,1,train
an edgy thriller that delivers a surprising punch,1,train
a reasonably entertaining sequel to 1994 s surprise family hit that may strain adult credibility,1,train
reno delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well balanced fashion,1,train
there is truth here,1,train
a confident richly acted emotionally devastating piece of work and 2002 s first great film,1,train
a touching small scale story of family responsibility and care in the community,1,train
arteta directs one of the best ensemble casts of the year,1,train
the casting of von sydow is itself intacto s luckiest stroke,1,train
no it s not as single minded as john carpenter s original but it s sure a lot smarter and more unnerving than the sequels,1,train
a gem of a romantic crime comedy that turns out to be clever amusing and unpredictable,1,train
stands as one of the year s most intriguing movie experiences letting its imagery speak for it while it forces you to ponder anew what a movie can be,1,train
the first 2 3 of the film are incredibly captivating and insanely funny thanks in part to interesting cinematic devices cool visual backmasking a solid cast and some wickedly sick and twisted humor,1,train
this movie got me grinning,1,train
there s a part of us that can not help be entertained by the sight of someone getting away with something,1,train
an old fashioned drama of substance about a teacher s slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue,1,train
what s not to like about a movie with a children s song that includes the line my stepdad s not mean he s just adjusting,1,train
the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious minded concerns of other year end movies,1,train
not everyone will welcome or accept the trials of henry kissinger as faithful portraiture but few can argue that the debate it joins is a necessary and timely one,1,train
there are no special effects and no hollywood endings,1,train
like the original this version is raised a few notches above kiddie fantasy pablum by allen s astringent wit,1,train
despite its hawaiian setting the science fiction trimmings and some moments of rowdy slapstick the basic plot of lilo could have been pulled from a tear stained vintage shirley temple script,0,train
filled with honest performances and exceptional detail baran is a gentle film with dramatic punch a haunting ode to humanity,1,train
in its dry and forceful way it delivers the same message as jiri menzel s closely watched trains and danis tanovic s no man s land,1,train
a triumph of emotionally and narratively complex filmmaking,1,train
simply put far from heaven is a masterpiece,1,train
an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,1,train
although fairly involving as far as it goes the film does n t end up having much that is fresh to say about growing up catholic or really anything,0,train
a very funny romantic comedy about two skittish new york middle agers who stumble into a relationship and then struggle furiously with their fears and foibles,1,train
top notch action powers this romantic drama,1,train
beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart,1,train
it really is a shame that more wo n t get an opportunity to embrace small sweet evelyn,1,train
i stopped thinking about how good it all was and started doing nothing but reacting to it feeling a part of its grand locations thinking urgently as the protagonists struggled feeling at the mercy of its inventiveness gasping at its visual delights,1,train
probably the best case for christianity since chesterton and lewis,1,train
a gently funny sweetly adventurous film that makes you feel genuinely good that is to say entirely unconned by false sentiment or sharp overmanipulative hollywood practices,1,train
would be an unendurable viewing experience for this ultra provincial new yorker if 26 year old reese witherspoon were not on hand to inject her pure fantasy character melanie carmichael with a massive infusion of old fashioned hollywood magic,1,train
visually fascinating an often intense character study about fathers and sons loyalty and duty,1,train
a lyrical metaphor for cultural and personal self discovery and a picaresque view of a little remembered world,1,train
schütte s dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close,1,train
a slick engrossing melodrama,1,train
s1m0ne s satire is not subtle but it is effective,1,train
it s a quirky off beat project,1,train
while some will object to the idea of a vietnam picture with such a rah rah patriotic tone soldiers ultimately achieves its main strategic objective dramatizing the human cost of the conflict that came to define a generation,0,train
even if you do n t know the band or the album s songs by heart you will enjoy seeing how both evolve and you will also learn a good deal about the state of the music business in the 21st century,1,train
the solid filmmaking and convincing characters makes this a high water mark for this genre,1,train
films about loss grief and recovery are pretty valuable these days,1,train
seen in that light moonlight mile should strike a nerve in many,1,train
it s endlessly inventive consistently intelligent and sickeningly savage,1,train
it is definitely worth seeing,1,train
an impeccable study in perversity,1,train
far from heaven is a dazzling conceptual feat but more than that it s a work of enthralling drama,1,train
a movie that both thrills the eye and in its over the top way touches the heart,1,train
stuffed to the brim with ideas american instigator michael moore s film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition,1,train
affectionately reminds us that in any language the huge stuff in life can usually be traced back to the little things,1,train
the large frame imax camera lends itself beautifully to filming the teeming life on the reefs making this gorgeous film a must for everyone from junior scientists to grown up fish lovers,1,train
a story about intelligent high school students that deals with first love sweetly but also seriously,1,train
it is also beautifully acted,1,train
it s a technically superb film shining with all the usual spielberg flair expertly utilizing the talents of his top notch creative team,1,train
wilco fans will have a great time and the movie should win the band a few new converts too,1,train
tsai has a well deserved reputation as one of the cinema world s great visual stylists and in this film every shot enhances the excellent performances,1,train
the fact is that the screen is most alive when it seems most likely that broomfield s interviewees or even himself will not be for much longer,1,train
leguizamo and jones are both excellent and the rest of the cast is uniformly superb,1,train
i liked this film a lot,1,train
there is enough originality in life to distance it from the pack of paint by number romantic comedies that so often end up on cinema screens,1,train
a solid and refined piece of moviemaking imbued with passion and attitude,1,train
nettelbeck has crafted an engaging fantasy of flavours and emotions one part romance novel one part recipe book,1,train
with or without the sex a wonderful tale of love and destiny told well by a master storyteller,1,train
on the surface a silly comedy scotland pa would be forgettable if it were n t such a clever adaptation of the bard s tragic play,1,train
a weird arresting little ride,1,train
a first class road movie that proves you can run away from home but your ego and all your problems go with you,1,train
you might want to take a reality check before you pay the full ticket price to see simone and consider a dvd rental instead,0,train
well cast and well directed a powerful drama with enough sardonic wit to keep it from being maudlin,1,train
a backstage must see for true fans of comedy,1,train
there s back stabbing inter racial desire and most importantly singing and dancing,1,train
the film sounds like the stuff of lurid melodrama but what makes it interesting as a character study is the fact that the story is told from paul s perspective,1,train
jones makes a great impression as the writer director of this little 1 8 million charmer which may not be cutting edge indie filmmaking but has a huge heart,1,train
in the disturbingly involving family dysfunctional drama how i killed my father french director anne fontaine delivers an inspired portrait of male ridden angst and the emotional blockage that accompanies this human condition,1,train
below may not mark mr twohy s emergence into the mainstream but his promise remains undiminished,1,train
there s no reason to miss interview with the assassin,1,train
happily stays close to the ground in a spare and simple manner and does n t pummel us with phony imagery or music,1,train
its sheer dynamism is infectious,1,train
for his first attempt at film noir spielberg presents a fascinating but flawed look at the near future,1,train
perhaps it s cliche to call the film refreshing but it is,1,train
drumline shows a level of young black manhood that is funny touching smart and complicated,1,train
it does give a taste of the burning man ethos an appealing blend of counter cultural idealism and hedonistic creativity,1,train
the movie is well done but slow,0,train
a wonderfully loopy tale of love longing and voting,1,train
the fascination comes in the power of the huston performance which seems so larger than life and yet so fragile and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react,1,train
the last scenes of the film are anguished bitter and truthful,1,train
mr koshashvili is a director to watch,1,train
predictable storyline and by the book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell,1,train
antwone fisher certainly does the trick of making us care about its protagonist and celebrate his victories but with few exceptions it rarely stoops to cheap manipulation or corny conventions to do it,1,train
one feels the dimming of a certain ambition but in its place a sweetness clarity and emotional openness that recalls the classics of early italian neorealism,1,train
it challenges this nervy oddity like modern art should,1,train
whenever you think you ve figured out late marriage it throws you for a loop,1,train
the pianist is polanski s best film,1,train
this orange has some juice but it s far from fresh squeezed,0,train
a sensitive modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern china,1,train
cusack s just brilliant in this,1,train
knows how to make our imagination wonder,1,train
jae eun jeong s take care of my cat brings a beguiling freshness to a coming of age story with such a buoyant expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema,1,train
the overall fabric is hypnotic and mr mattei fosters moments of spontaneous intimacy,1,train
evokes a palpable sense of disconnection made all the more poignant by the incessant use of cell phones,1,train
malcolm mcdowell is cool,1,train
paul bettany is cool,1,train
cool,1,train
a touching sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes,1,train
an inventive absorbing movie that s as hard to classify as it is hard to resist,1,train
it made me want to get made up and go see this movie with my sisters,1,train
i thought the relationships were wonderful the comedy was funny and the love real,1,train
caine proves once again he has n t lost his touch bringing off a superb performance in an admittedly middling film,1,train
bogdanovich puts history in perspective and via kirsten dunst s remarkable performance he showcases davies as a young woman of great charm generosity and diplomacy,1,train
this breezy caper movie becomes a soulful incisive meditation on the way we were and the way we are,1,train
a captivating new film,1,train
those who are n t put off by the film s austerity will find it more than capable of rewarding them,1,train
it s a clear eyed portrait of an intensely lived time filled with nervous energy moral ambiguity and great uncertainties,1,train
reveals how important our special talents can be when put in service of of others,1,train
it also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them,1,train
with the same sort of good natured fun found in films like tremors eight legged freaks is prime escapist fare,1,train
a sharp amusing study of the cult of celebrity,1,train
the sentimental cliches mar an otherwise excellent film,1,train
a powerful performance from mel gibson and a brutal 90 minute battle sequence that does everything but issue you a dog tag and an m 16,1,train
a graceful moving tribute to the courage of new york s finest and a nicely understated expression of the grief shared by the nation at their sacrifice,1,train
a coming of age tale from new zealand whose boozy languid air is balanced by a rich visual clarity and deeply felt performances across the board,1,train
made to be jaglomized is the cannes film festival the annual riviera spree of flesh buzz blab and money,0,train
the charming result is festival in cannes,1,train
if you re looking for something new and hoping for something entertaining you re in luck,1,train
a hugely rewarding experience that s every bit as enlightening insightful and entertaining as grant s two best films four weddings and a funeral and bridget jones s diary,1,train
a rip roaring comedy action fest that ll put hairs on your chest,1,train
if there s no art here it s still a good yarn which is nothing to sneeze at these days,1,train
simultaneously heart breaking and very funny the last kiss is really all about performances,1,train
there is a subversive element to this disney cartoon providing unexpected fizzability,1,train
an unforgettable look at morality family and social expectation through the prism of that omnibus tradition called marriage,1,train
an enjoyable if occasionally flawed experiment,1,train
miyazaki is one of world cinema s most wondrously gifted artists and storytellers,1,train
if ayurveda can help us return to a sane regimen of eating sleeping and stress reducing contemplation it is clearly a good thing,1,train
meeting even exceeding expectations it s the best sequel since the empire strikes back a majestic achievement an epic of astonishing grandeur and surprising emotional depth,1,train
leigh is one of the rare directors who feels acting is the heart and soul of cinema,1,train
he allows his cast members to make creative contributions to the story and dialogue,1,train
this method almost never fails him and it works superbly here,1,train
poetry in motion captured on film,1,train
while it can be a bit repetitive overall it s an entertaining and informative documentary,1,train
directing with a sure and measured hand haneke steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology,1,train
the entire movie establishes a wonderfully creepy mood,1,train
i found the ring moderately absorbing largely for its elegantly colorful look and sound,1,train
the filmmakers want nothing else than to show us a good time and in their cheap b movie way they succeed,1,train
amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances,1,train
but it will just as likely make you weep and it will do so in a way that does n t make you feel like a sucker,1,train
both heartbreaking and heartwarming just a simple fable done in an artless sytle but it s tremendously moving,1,train
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short,1,train
the film s sense of imagery gives it a terrible strength but it s propelled by the acting,1,train
the pianist is a supremely hopeful cautionary tale of war s madness remembered that we today can prevent its tragic waste of life,1,train
here is a divine monument to a single man s struggle to regain his life his dignity and his music,1,train
strange it is but delightfully so,1,train
elegant mannered and teasing,1,train
the ingenuity that parker displays in freshening the play is almost in a class with that of wilde himself,1,train
the unexpected thing is that its dying in this shower of black and white psychedelia is quite beautiful,1,train
a droll bitchy frolic which pokes fun at the price of popularity and small town pretension in the lone star state,0,train
with each of her three protagonists miller eloquently captures the moment when a woman s life out of a deep seated emotional need is about to turn onto a different path,1,train
ryan gosling is at 22 a powerful young actor,1,train
as an introduction to the man s theories and influence derrida is all but useless as a portrait of the artist as an endlessly inquisitive old man however it s invaluable,1,train
the film is a verbal duel between two gifted performers,1,train
imperfect,0,train
yes but also intriguing and honorable a worthwhile addition to a distinguished film legacy,1,train
what a great way to spend 4 units of your day,1,train
the movie is hardly a masterpiece but it does mark ms bullock s best work in some time,1,train
as simple and innocent a movie as you can imagine,1,train
this is a movie you can trust,1,train
passionate irrational long suffering but cruel as a tarantula helga figures prominently in this movie and helps keep the proceedings as funny for grown ups as for rugrats,1,train
vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial artists a captivating drama that will speak to the nonconformist in us all,1,train
hollywood ending is not show stoppingly hilarious but scathingly witty nonetheless,1,train
a compelling yarn but not quite a ripping one,1,train
on the granger movie gauge of 1 to 10 the powerpuff girls is a fast frenetic funny even punny 6 aimed specifically at a grade school audience,1,train
the film has several strong performances,1,train
i ve never bought from telemarketers but i bought this movie,1,train
perfectly pitched between comedy and tragedy hope and despair about schmidt instead comes far closer than many movies to expressing the way many of us live someplace between consuming self absorption and insistently demanding otherness,1,train
shyamalan turns the goose pimple genre on its empty head and fills it with spirit purpose and emotionally bruised characters who add up to more than body count,1,train
a sexy peculiar and always entertaining costume drama set in renaissance spain and the fact that it s based on true events somehow makes it all the more compelling,1,train
an entertaining documentary that freshly considers arguments the bard s immortal plays were written by somebody else,1,train
a highly spirited imaginative kid s movie that broaches neo augustinian theology is god stuck in heaven because he s afraid of his best known creation,1,train
call it magic realism or surrealism but miss wonton floats beyond reality with a certain degree of wit and dignity,1,train
raimi and his team could n t have done any better in bringing the story of spider man to the big screen,1,train
the director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut,1,train
well acted well directed and for all its moodiness not too pretentious,1,train
it s a satisfying summer blockbuster and worth a look,1,train
boomers and their kids will have a barrie good time,1,train
real women have curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by ferrera and ontiveros,1,train
ultimately mib ii succeeds due to its rapid fire delivery and enough inspired levity that it ca n t be dismissed as mindless,1,train
stage director sam mendes showcases tom hanks as a depression era hit man in this dark tale of revenge,1,train
sitting in the third row of the imax cinema at sydney s darling harbour but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia sweeping and gliding banking and hovering over some of the most not,1,train
what s so fun about this silly outrageous ingenious thriller is the director s talent,1,train
watching a brian depalma movie is like watching an alfred hitchcock movie after drinking twelve beers,0,train
strip it of all its excess debris and you d have a 90 minute four star movie,1,train
as it is it s too long and unfocused,0,train
an immensely entertaining look at some of the unsung heroes of 20th century pop music,1,train
this familiar rise and fall tale is long on glamour and short on larger moralistic consequences though it s told with sharp ears and eyes for the tenor of the times,1,train
this beautifully animated epic is never dull,1,train
brian tufano s handsome widescreen photography and paul grabowsky s excellent music turn this fairly parochial melodrama into something really rather special,1,train
it makes compelling provocative and prescient viewing,1,train
a thoroughly entertaining comedy that uses grant s own twist of acidity to prevent itself from succumbing to its own bathos,1,train
using a stock plot about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater,1,train
but it s defiantly and delightfully against the grain,1,train
the hard to predict and absolutely essential chemistry between the down to earth bullock and the nonchalant grant proves to be sensational and everything meshes in this elegant entertainment,1,train
